[ 2025-03-30 16:48:50,689] 21 root - INFO - Initiate the data ingestion
[ 2025-03-30 16:48:57,050] 57 root - INFO - Performed train test split on the dataframe
[ 2025-03-30 16:48:57,050] 59 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-03-30 16:48:57,051] 65 root - INFO - Exporting train and test file path.
[ 2025-03-30 16:48:57,101] 75 root - INFO - Exported train and test file path.
[ 2025-03-30 16:48:57,101] 23 root - INFO - Data Initiation Completed
[ 2025-03-30 16:48:57,116] 30 root - INFO - Initiate the data Validation
[ 2025-03-30 16:48:57,168] 32 root - INFO - Required number of columns:2
[ 2025-03-30 16:48:57,169] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 16:48:57,169] 32 root - INFO - Required number of columns:2
[ 2025-03-30 16:48:57,169] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 16:48:57,305] 32 root - INFO - Data Validation Completed
[ 2025-03-30 16:48:57,306] 37 root - INFO - Data Transformation started
[ 2025-03-30 16:48:57,306] 61 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2025-03-30 16:48:57,306] 63 root - INFO - Starting data transformation
[ 2025-03-30 16:48:57,328] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-30 16:48:57,328] 53 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-30 16:48:57,369] 42 root - INFO - Entered the save_object method of main_utils class
[ 2025-03-30 16:48:57,374] 46 root - INFO - Exited the save_object method of main_utils class
[ 2025-03-30 16:48:57,376] 41 root - INFO - Data Transformation Completed
[ 2025-03-30 16:48:57,376] 43 root - INFO - Model Training Stared
[ 2025-03-30 16:53:16,783] 42 root - INFO - Entered the save_object method of main_utils class
[ 2025-03-30 16:53:16,784] 46 root - INFO - Exited the save_object method of main_utils class
[ 2025-03-30 16:53:16,784] 42 root - INFO - Entered the save_object method of main_utils class
[ 2025-03-30 16:53:16,830] 46 root - INFO - Exited the save_object method of main_utils class
