[ 2025-03-16 23:38:07,051] 14 root - INFO - Initiatiing of Data Ingestion
[ 2025-03-16 23:38:13,056] 57 root - INFO - Performed train test split on the dataframe
[ 2025-03-16 23:38:13,056] 59 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-03-16 23:38:13,056] 65 root - INFO - Exporting train and test file path.
[ 2025-03-16 23:38:13,105] 75 root - INFO - Exported train and test file path.
[ 2025-03-16 23:38:13,106] 16 root - INFO - Data Ingestion Completed
[ 2025-03-16 23:38:13,111] 20 root - INFO - Initiate the data validation
[ 2025-03-16 23:38:13,205] 25 root - INFO - Required number of columns: 2
[ 2025-03-16 23:38:13,205] 26 root - INFO - Dataframe has columns: 31
[ 2025-03-16 23:38:13,206] 25 root - INFO - Required number of columns: 2
[ 2025-03-16 23:38:13,206] 26 root - INFO - Dataframe has columns: 31
[ 2025-03-16 23:38:13,319] 22 root - INFO - Data Validation Completed
