[ 2025-03-18 19:48:19,361] 15 root - INFO - Initiatiing of Data Ingestion
[ 2025-03-18 19:48:24,884] 57 root - INFO - Performed train test split on the dataframe
[ 2025-03-18 19:48:24,884] 59 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-03-18 19:48:24,885] 65 root - INFO - Exporting train and test file path.
[ 2025-03-18 19:48:24,939] 75 root - INFO - Exported train and test file path.
[ 2025-03-18 19:48:24,940] 17 root - INFO - Data Ingestion Completed
[ 2025-03-18 19:48:24,945] 21 root - INFO - Initiate the data validation
[ 2025-03-18 19:48:24,999] 32 root - INFO - Required number of columns:2
[ 2025-03-18 19:48:25,000] 33 root - INFO - Data frame has columns:31
[ 2025-03-18 19:48:25,001] 32 root - INFO - Required number of columns:2
[ 2025-03-18 19:48:25,001] 33 root - INFO - Data frame has columns:31
[ 2025-03-18 19:48:25,171] 23 root - INFO - Data Validation Completed
[ 2025-03-18 19:48:25,171] 27 root - INFO - Data Transformation Started
[ 2025-03-18 19:48:25,171] 61 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2025-03-18 19:48:25,171] 63 root - INFO - Starting data transformation
[ 2025-03-18 19:48:25,198] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-18 19:48:25,198] 53 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-18 19:48:25,213] 40 root - INFO - Entered the save_object method of main_utils class
[ 2025-03-18 19:48:25,217] 44 root - INFO - Exited the save_object method of main_utils class
[ 2025-03-18 19:48:25,218] 31 root - INFO - Data Transformation Completed
