[ 2025-03-18 19:42:50,156] 15 root - INFO - Initiatiing of Data Ingestion
[ 2025-03-18 19:42:55,846] 57 root - INFO - Performed train test split on the dataframe
[ 2025-03-18 19:42:55,846] 59 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-03-18 19:42:55,847] 65 root - INFO - Exporting train and test file path.
[ 2025-03-18 19:42:55,900] 75 root - INFO - Exported train and test file path.
[ 2025-03-18 19:42:55,900] 17 root - INFO - Data Ingestion Completed
[ 2025-03-18 19:42:55,906] 21 root - INFO - Initiate the data validation
[ 2025-03-18 19:42:55,951] 32 root - INFO - Required number of columns:2
[ 2025-03-18 19:42:55,952] 33 root - INFO - Data frame has columns:31
[ 2025-03-18 19:42:55,952] 32 root - INFO - Required number of columns:2
[ 2025-03-18 19:42:55,952] 33 root - INFO - Data frame has columns:31
[ 2025-03-18 19:42:56,134] 23 root - INFO - Data Validation Completed
[ 2025-03-18 19:42:56,136] 27 root - INFO - Data Transformation Started
[ 2025-03-18 19:42:56,136] 61 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2025-03-18 19:42:56,136] 63 root - INFO - Starting data transformation
[ 2025-03-18 19:42:56,159] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
