[ 2025-03-30 17:02:07,656] 21 root - INFO - Initiate the data ingestion
[ 2025-03-30 17:02:13,310] 57 root - INFO - Performed train test split on the dataframe
[ 2025-03-30 17:02:13,310] 59 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-03-30 17:02:13,311] 65 root - INFO - Exporting train and test file path.
[ 2025-03-30 17:02:13,455] 75 root - INFO - Exported train and test file path.
[ 2025-03-30 17:02:13,457] 23 root - INFO - Data Initiation Completed
[ 2025-03-30 17:02:13,468] 30 root - INFO - Initiate the data Validation
[ 2025-03-30 17:02:13,552] 32 root - INFO - Required number of columns:2
[ 2025-03-30 17:02:13,552] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 17:02:13,552] 32 root - INFO - Required number of columns:2
[ 2025-03-30 17:02:13,553] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 17:02:13,755] 32 root - INFO - Data Validation Completed
[ 2025-03-30 17:02:13,756] 37 root - INFO - Data Transformation started
[ 2025-03-30 17:02:13,756] 61 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2025-03-30 17:02:13,756] 63 root - INFO - Starting data transformation
[ 2025-03-30 17:02:13,818] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-30 17:02:13,818] 53 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-30 17:02:13,842] 42 root - INFO - Entered the save_object method of main_utils class
[ 2025-03-30 17:02:13,849] 46 root - INFO - Exited the save_object method of main_utils class
[ 2025-03-30 17:02:13,854] 41 root - INFO - Data Transformation Completed
[ 2025-03-30 17:02:13,856] 43 root - INFO - Model Training Stared
[ 2025-03-30 17:05:53,365] 42 root - INFO - Entered the save_object method of main_utils class
[ 2025-03-30 17:05:53,366] 46 root - INFO - Exited the save_object method of main_utils class
[ 2025-03-30 17:05:53,366] 42 root - INFO - Entered the save_object method of main_utils class
[ 2025-03-30 17:05:53,418] 46 root - INFO - Exited the save_object method of main_utils class
