[ 2025-03-16 23:48:39,553] 14 root - INFO - Initiatiing of Data Ingestion
[ 2025-03-16 23:48:46,965] 57 root - INFO - Performed train test split on the dataframe
[ 2025-03-16 23:48:46,965] 59 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-03-16 23:48:46,965] 65 root - INFO - Exporting train and test file path.
[ 2025-03-16 23:48:47,013] 75 root - INFO - Exported train and test file path.
[ 2025-03-16 23:48:47,013] 16 root - INFO - Data Ingestion Completed
[ 2025-03-16 23:48:47,018] 20 root - INFO - Initiate the data validation
[ 2025-03-16 23:48:47,072] 32 root - INFO - Required number of columns:2
[ 2025-03-16 23:48:47,074] 33 root - INFO - Data frame has columns:31
[ 2025-03-16 23:48:47,074] 32 root - INFO - Required number of columns:2
[ 2025-03-16 23:48:47,074] 33 root - INFO - Data frame has columns:31
[ 2025-03-16 23:48:47,228] 22 root - INFO - Data Validation Completed
