[ 2025-03-18 19:44:13,821] 15 root - INFO - Initiatiing of Data Ingestion
[ 2025-03-18 19:44:19,230] 57 root - INFO - Performed train test split on the dataframe
[ 2025-03-18 19:44:19,230] 59 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-03-18 19:44:19,232] 65 root - INFO - Exporting train and test file path.
[ 2025-03-18 19:44:19,281] 75 root - INFO - Exported train and test file path.
[ 2025-03-18 19:44:19,281] 17 root - INFO - Data Ingestion Completed
[ 2025-03-18 19:44:19,286] 21 root - INFO - Initiate the data validation
[ 2025-03-18 19:44:19,331] 32 root - INFO - Required number of columns:2
[ 2025-03-18 19:44:19,333] 33 root - INFO - Data frame has columns:31
[ 2025-03-18 19:44:19,333] 32 root - INFO - Required number of columns:2
[ 2025-03-18 19:44:19,333] 33 root - INFO - Data frame has columns:31
[ 2025-03-18 19:44:19,460] 23 root - INFO - Data Validation Completed
[ 2025-03-18 19:44:19,462] 27 root - INFO - Data Transformation Started
[ 2025-03-18 19:44:19,462] 61 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2025-03-18 19:44:19,462] 63 root - INFO - Starting data transformation
[ 2025-03-18 19:44:19,480] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-18 19:44:19,480] 53 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-18 19:44:19,494] 40 root - INFO - Entered the save_object method of main_utils class
[ 2025-03-18 19:44:19,498] 44 root - INFO - Exited the save_object method of main_utils class
[ 2025-03-18 19:44:19,499] 31 root - INFO - Data Transformation Completed
